sheet_row,title,eshop_url,status
140,The Legend of Zelda: Skyward Sword HD,https://www.nintendo.com/us/store/products/the-legend-of-zelda-skyward-sword-hd-switch/,verified
141,The Legend of Zelda: Tears of the Kingdom – Nintendo Switch 2 Edition (Upgrade Pack),https://www.nintendo.com/us/store/products/the-legend-of-zelda-tears-of-the-kingdom-nintendo-switch-2-edition-upgrade-pack-switch-2/,verified
142,Tiny Bookshop,https://www.nintendo.com/us/store/products/tiny-bookshop-switch/,verified
143,Tomodachi Life: Living the Dream,https://www.nintendo.com/us/store/products/tomodachi-life-living-the-dream-switch/,verified
144,TowerFall,https://www.nintendo.com/us/store/products/towerfall-switch/,verified
145,Two Point Museum,https://www.nintendo.com/us/store/products/two-point-museum-switch-2/,"verified — DIFFERS from formula, paste this into F"
146,Ultimate Chicken Horse,https://www.nintendo.com/us/store/products/ultimate-chicken-horse-switch/,verified
147,Unravel Two,https://www.nintendo.com/us/store/products/unravel-two-switch/,verified
148,Untitled Goose Game,https://www.nintendo.com/us/store/products/untitled-goose-game-switch/,verified
149,WarioWare: Get It Together!,https://www.nintendo.com/us/store/products/warioware-get-it-together-switch/,verified
150,WarioWare: Move It!,https://www.nintendo.com/us/store/products/warioware-move-it-switch/,verified
151,WORLD OF FINAL FANTASY: MAXIMA,https://www.nintendo.com/us/store/products/world-of-final-fantasy-maxima-switch/,verified
152,WWE 2K26,https://www.nintendo.com/us/store/products/wwe-2k26-switch/,NOT FOUND — check manually
153,Xenoblade Chronicles Definitive Edition,https://www.nintendo.com/us/store/products/xenoblade-chronicles-definitive-edition-switch/,verified
154,Xenoblade Chronicles: Definitive Edition – Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/xenoblade-chronicles-definitive-edition-nintendo-switch-2-edition-switch-2/,verified
155,Xenoblade Chronicles: Definitive Edition – Nintendo Switch 2 Edition (Upgrade Pack),https://www.nintendo.com/us/store/products/xenoblade-chronicles-definitive-edition-nintendo-switch-2-edition-upgrade-pack-switch-2/,verified
156,Yakuza 0 Director's Cut,https://www.nintendo.com/us/store/products/yakuza-0-directors-cut-switch-2/,"verified — DIFFERS from formula, paste this into F"
157,Drag x Drive,https://www.nintendo.com/us/store/products/drag-x-drive-switch-2/,"verified — DIFFERS from formula, paste this into F"
158,Sonic Frontiers - Definitive Edition,https://www.nintendo.com/us/store/products/sonic-frontiers-definitive-edition-switch-2/,"verified — DIFFERS from formula, paste this into F"
159,Digimon Story Time Stranger,https://www.nintendo.com/us/store/products/digimon-story-time-stranger-switch/,verified
160,Rhythm Heaven Groove,https://www.nintendo.com/us/store/products/rhythm-heaven-groove-switch/,verified
161,Pokemon Pokopia Expansion Pass (DLC),https://www.nintendo.com/us/store/products/pokemon-pokopia-expansion-pass-dlc-switch/,NOT FOUND — check manually
162,ARMS,https://www.nintendo.com/us/store/products/arms-switch/,verified
163,Subnautica: Below Zero,https://www.nintendo.com/us/store/products/subnautica-below-zero-switch/,verified
164,Subnautica,https://www.nintendo.com/us/store/products/subnautica-switch/,verified
165,Fitness Boxing 3: Your Personal Trainer,https://www.nintendo.com/us/store/products/fitness-boxing-3-your-personal-trainer-switch/,verified
166,Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition (Upgrade Pack),https://www.nintendo.com/us/store/products/fitness-boxing-3-your-personal-trainer-nintendo-switch-2-edition-switch-2/,"verified — DIFFERS from formula, paste this into F"
167,Fitness Boxing 3: Your Personal Trainer – Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/fitness-boxing-3-your-personal-trainer-nintendo-switch-2-edition-switch-2/,verified
168,Street Fighter 6,https://www.nintendo.com/us/store/products/street-fighter-6-switch-2/,"verified — DIFFERS from formula, paste this into F"
169,Street Fighter 6 Years 1-2 Fighters Edition,https://www.nintendo.com/us/store/products/street-fighter-6-years-1-2-fighters-edition-switch-2/,"verified — DIFFERS from formula, paste this into F"
170,Digimon Story Time Stranger Deluxe Edition,https://www.nintendo.com/us/store/products/digimon-story-time-stranger-deluxe-edition-switch-2/,"verified — DIFFERS from formula, paste this into F"
171,Digimon Story Time Stranger Ultimate Edition,https://www.nintendo.com/us/store/products/digimon-story-time-stranger-ultimate-edition-switch/,verified
172,Street Fighter 6 Year 1 Ultimate Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-1-ultimate-pass-dlc-switch/,NOT FOUND — check manually
173,Street Fighter 6 Year 1 Character Pass (DLC),https://www.nintendo.com/us/store/products/street-fighter-6-year-1-character-pass-dlc-switch/,NOT FOUND — check manually
